Hospital,Year,Quarter,State,Total_Revenue,Other_Operating_Revenue,Medicare_Revenue,Medicaid_Revenue,Self_Pay_Revenue,Commercial_Revenue,Other_Revenue
Asante Rogue Regional Medical Center,2020,1,Oregon,163175601,2618291,0,0,0,0,0
Asante Rogue Regional Medical Center,2020,2,Oregon,154148853,12909428,0,0,0,0,0
Asante Rogue Regional Medical Center,2020,3,Oregon,173689396,10285915,0,0,0,0,0
Asante Rogue Regional Medical Center,2020,4,Oregon,175181341,3195721,0,0,0,0,0
Asante Rogue Regional Medical Center,2021,1,Oregon,174464518,5904570,70403928,23579354,-4217695,63818863,10791031
Asante Rogue Regional Medical Center,2021,2,Oregon,194538858,2135185,74230405,22960464,-3029060,61192639,11779501
Asante Rogue Regional Medical Center,2021,3,Oregon,158603986,1983730,67569353,23725489,-3517846,60307897,10841162
Asante Rogue Regional Medical Center,2021,4,Oregon,186512156,7400959,75348667,23289990,-4345964,72071467,12546477
Asante Rogue Regional Medical Center,2022,1,Oregon,298496696,1215350,76060794,20941013,-2660072,63228115,12057857
Asante Rogue Regional Medical Center,2022,2,Oregon,180908061,985605,79626092,22484461,-3001469,68972174,12061277
Asante Rogue Regional Medical Center,2022,3,Oregon,197214629,13255341,84427486,24135747,-3397078,64456850,13108468
Asante Rogue Regional Medical Center,2022,4,Oregon,189169924,3882107,73491910,18559740,-2673630,76130828,18709815
Asante Rogue Regional Medical Center,2023,1,Oregon,200761960,2460131,86033367,23029570,-5427660,72767840,18685926
Asante Rogue Regional Medical Center,2023,2,Oregon,185616936,1603554,88158421,10645393,-3467565,65153634,23464821
Asante Rogue Regional Medical Center,2023,3,Oregon,192356939,1488795,90461127,17548537,-3919400,60640520,23645754
Asante Rogue Regional Medical Center,2023,4,Oregon,236732376,1260854,99161120,12729639,-4053223,70015466,21560493
Asante Rogue Regional Medical Center,2024,1,Oregon,252426613,19427576,100558389,18704947,-2510994,69433288,17394206
Asante Rogue Regional Medical Center,2024,2,Oregon,217873037,1650921,107793186,15033839,-4211590,75028738,19672128
Asante Rogue Regional Medical Center,2024,3,Oregon,276520997,5003403,126144876,16060863,4320571,73423227,25110275
Asante Rogue Regional Medical Center,2024,4,Oregon,209475319,5636078,97590182,15236484,-3508515,77168901,22395471
Providence Medford Medical Center,2007,1,Oregon,34406000,1403000,0,0,0,0,0
Providence Medford Medical Center,2007,2,Oregon,32426000,1470000,0,0,0,0,0
Providence Medford Medical Center,2007,3,Oregon,32036000,1916000,0,0,0,0,0
Providence Medford Medical Center,2007,4,Oregon,33773000,1560000,0,0,0,0,0
Providence Medford Medical Center,2008,1,Oregon,33760000,1120000,0,0,0,0,0
Providence Medford Medical Center,2008,2,Oregon,32612000,875000,0,0,0,0,0
Providence Medford Medical Center,2008,3,Oregon,32687000,1521000,0,0,0,0,0
Providence Medford Medical Center,2008,4,Oregon,35507000,1179000,0,0,0,0,0
Providence Medford Medical Center,2009,1,Oregon,35295000,1360000,0,0,0,0,0
Providence Medford Medical Center,2009,2,Oregon,35602000,1225000,0,0,0,0,0
Providence Medford Medical Center,2009,3,Oregon,36562000,1130000,0,0,0,0,0
Providence Medford Medical Center,2009,4,Oregon,37524000,1246000,0,0,0,0,0
Providence Medford Medical Center,2010,1,Oregon,38865000,1141000,0,0,0,0,0
Providence Medford Medical Center,2010,2,Oregon,39624000,946000,0,0,0,0,0
Providence Medford Medical Center,2010,3,Oregon,40184000,1214000,0,0,0,0,0
Providence Medford Medical Center,2010,4,Oregon,38214000,1263000,0,0,0,0,0
Providence Medford Medical Center,2011,1,Oregon,42268000,1178000,0,0,0,0,0
Providence Medford Medical Center,2011,2,Oregon,40710000,1113000,0,0,0,0,0
Providence Medford Medical Center,2011,3,Oregon,44240000,1737000,0,0,0,0,0
Providence Medford Medical Center,2011,4,Oregon,42904000,1823000,0,0,0,0,0
Providence Medford Medical Center,2012,1,Oregon,40044000,964000,0,0,0,0,0
Providence Medford Medical Center,2012,2,Oregon,40745000,899000,0,0,0,0,0
Providence Medford Medical Center,2012,3,Oregon,40200000,972000,0,0,0,0,0
Providence Medford Medical Center,2012,4,Oregon,40699000,1238000,0,0,0,0,0
Providence Medford Medical Center,2013,1,Oregon,40316000,964000,0,0,0,0,0
Providence Medford Medical Center,2013,2,Oregon,40297000,1068000,0,0,0,0,0
Providence Medford Medical Center,2013,3,Oregon,41740000,2959000,0,0,0,0,0
Providence Medford Medical Center,2013,4,Oregon,42457000,1677000,0,0,0,0,0
Providence Medford Medical Center,2014,1,Oregon,41029156,78139,0,0,0,0,0
Providence Medford Medical Center,2014,2,Oregon,42737343,953245,0,0,0,0,0
Providence Medford Medical Center,2014,3,Oregon,45136610,1244761,0,0,0,0,0
Providence Medford Medical Center,2014,4,Oregon,44691623,3308657,0,0,0,0,0
Providence Medford Medical Center,2015,1,Oregon,40642932,822068,0,0,0,0,0
Providence Medford Medical Center,2015,2,Oregon,45979831,3763589,0,0,0,0,0
Providence Medford Medical Center,2015,3,Oregon,41376565,988300,0,0,0,0,0
Providence Medford Medical Center,2015,4,Oregon,49249872,1773905,0,0,0,0,0
Providence Medford Medical Center,2016,1,Oregon,45521324,714529,0,0,0,0,0
Providence Medford Medical Center,2016,2,Oregon,47810529,2428393,0,0,0,0,0
Providence Medford Medical Center,2016,3,Oregon,44790165,630016,0,0,0,0,0
Providence Medford Medical Center,2016,4,Oregon,46544331,1153309,0,0,0,0,0
Providence Medford Medical Center,2017,1,Oregon,49125885,1448743,0,0,0,0,0
Providence Medford Medical Center,2017,2,Oregon,51372618,2299913,0,0,0,0,0
Providence Medford Medical Center,2017,3,Oregon,49029393,986678,0,0,0,0,0
Providence Medford Medical Center,2017,4,Oregon,51218679,942020,0,0,0,0,0
Providence Medford Medical Center,2018,1,Oregon,51722375,342932,0,0,0,0,0
Providence Medford Medical Center,2018,2,Oregon,50731490,2245045,0,0,0,0,0
Providence Medford Medical Center,2018,3,Oregon,47629860,878987,0,0,0,0,0
Providence Medford Medical Center,2018,4,Oregon,50400931,875493,0,0,0,0,0
Providence Medford Medical Center,2019,1,Oregon,52822911,1001557,0,0,0,0,0
Providence Medford Medical Center,2019,2,Oregon,54208093,983911,0,0,0,0,0
Providence Medford Medical Center,2019,3,Oregon,52435026,1416836,0,0,0,0,0
Providence Medford Medical Center,2019,4,Oregon,55274286,1228621,0,0,0,0,0
Providence Medford Medical Center,2020,1,Oregon,50240911,1234283,0,0,0,0,0
Providence Medford Medical Center,2020,2,Oregon,47994176,11933546,0,0,0,0,0
Providence Medford Medical Center,2020,3,Oregon,50792121,1825481,0,0,0,0,0
Providence Medford Medical Center,2020,4,Oregon,55679526,4132570,0,0,0,0,0
Providence Medford Medical Center,2021,1,Oregon,54445440,1551524,22248582,10346093,1846565,21925591,-3636094
Providence Medford Medical Center,2021,2,Oregon,56527374,1186717,23010875,10413028,1298621,16126797,3520236
Providence Medford Medical Center,2021,3,Oregon,53640913,1399284,21421413,10692943,1738227,19413228,-1218389
Providence Medford Medical Center,2021,4,Oregon,63189951,4950206,23927949,10256444,1115557,22472698,653365
Providence Medford Medical Center,2022,1,Oregon,59496361,806212,24762534,11063511,830872,21527724,605271
Providence Medford Medical Center,2022,2,Oregon,58136369,685261,24751553,12299338,1379653,19653417,-113874
Providence Medford Medical Center,2022,3,Oregon,63642154,4746888,27280509,10275997,735299,20727987,610246
Providence Medford Medical Center,2022,4,Oregon,64562649,781477,28451678,10946843,1336461,22239889,392858
Providence Medford Medical Center,2023,1,Oregon,66409333,1102839,30883829,11354266,1029237,21262166,661487
Providence Medford Medical Center,2023,2,Oregon,66604189,896467,29502164,11610547,1108154,22287389,1113328
Providence Medford Medical Center,2023,3,Oregon,62898169,2260881,27870326,11985223,153186,19929204,1886637
Providence Medford Medical Center,2023,4,Oregon,71201510,1700062,31130800,12455186,2665239,22069599,107954
Providence Medford Medical Center,2024,1,Oregon,71618465,905388,35055274,16360625,4011463,19594862,-4457881
Providence Medford Medical Center,2024,2,Oregon,75936366,1224922,31160518,12785471,2323343,27428486,508432
Providence Medford Medical Center,2024,3,Oregon,71875561,808788,31792637,13245106,1853759,23299748,516188
Providence Medford Medical Center,2024,4,Oregon,69483956,1290010,29067527,12308106,2863847,26159365,-2398548
Providence Milwaukie Hospital,2007,1,Oregon,17397000,198000,0,0,0,0,0
Providence Milwaukie Hospital,2007,2,Oregon,18049000,192000,0,0,0,0,0
Providence Milwaukie Hospital,2007,3,Oregon,17285000,165000,0,0,0,0,0
Providence Milwaukie Hospital,2007,4,Oregon,18684000,217000,0,0,0,0,0
Providence Milwaukie Hospital,2008,1,Oregon,18288000,162000,0,0,0,0,0
Providence Milwaukie Hospital,2008,2,Oregon,18960000,180000,0,0,0,0,0
Providence Milwaukie Hospital,2008,3,Oregon,18809000,181000,0,0,0,0,0
Providence Milwaukie Hospital,2008,4,Oregon,18796000,201000,0,0,0,0,0
Providence Milwaukie Hospital,2009,1,Oregon,18658000,188000,0,0,0,0,0
Providence Milwaukie Hospital,2009,2,Oregon,21670000,240000,0,0,0,0,0
Providence Milwaukie Hospital,2009,3,Oregon,21634000,256000,0,0,0,0,0
Providence Milwaukie Hospital,2009,4,Oregon,20113000,597000,0,0,0,0,0
Providence Milwaukie Hospital,2010,1,Oregon,20664000,143000,0,0,0,0,0
Providence Milwaukie Hospital,2010,2,Oregon,22966000,244000,0,0,0,0,0
Providence Milwaukie Hospital,2010,3,Oregon,22653000,182000,0,0,0,0,0
Providence Milwaukie Hospital,2010,4,Oregon,21741770,254000,0,0,0,0,0
Providence Milwaukie Hospital,2011,1,Oregon,23186000,241000,0,0,0,0,0
Providence Milwaukie Hospital,2011,2,Oregon,22960000,213000,0,0,0,0,0
Providence Milwaukie Hospital,2011,3,Oregon,23346000,178000,0,0,0,0,0
Providence Milwaukie Hospital,2011,4,Oregon,24189000,829000,0,0,0,0,0
Providence Milwaukie Hospital,2012,1,Oregon,20975000,114000,0,0,0,0,0
Providence Milwaukie Hospital,2012,2,Oregon,22505000,245000,0,0,0,0,0
Providence Milwaukie Hospital,2012,3,Oregon,20076000,106000,0,0,0,0,0
Providence Milwaukie Hospital,2012,4,Oregon,23270000,185000,0,0,0,0,0
Providence Milwaukie Hospital,2013,1,Oregon,21783000,133000,0,0,0,0,0
Providence Milwaukie Hospital,2013,2,Oregon,20740000,195000,0,0,0,0,0
Providence Milwaukie Hospital,2013,3,Oregon,21877000,1284000,0,0,0,0,0
Providence Milwaukie Hospital,2013,4,Oregon,22567532,732118,0,0,0,0,0
Providence Milwaukie Hospital,2014,1,Oregon,20354488,146953,0,0,0,0,0
Providence Milwaukie Hospital,2014,2,Oregon,21572836,126596,0,0,0,0,0
Providence Milwaukie Hospital,2014,3,Oregon,22455401,148354,0,0,0,0,0
Providence Milwaukie Hospital,2014,4,Oregon,24013956,1349786,0,0,0,0,0
Providence Milwaukie Hospital,2015,1,Oregon,23277723,390990,0,0,0,0,0
Providence Milwaukie Hospital,2015,2,Oregon,25740707,2207617,0,0,0,0,0
Providence Milwaukie Hospital,2015,3,Oregon,21939371,58309,0,0,0,0,0
Providence Milwaukie Hospital,2015,4,Oregon,27921411,975978,0,0,0,0,0
Providence Milwaukie Hospital,2016,1,Oregon,23653982,246937,0,0,0,0,0
Providence Milwaukie Hospital,2016,2,Oregon,25025769,1047453,0,0,0,0,0
Providence Milwaukie Hospital,2016,3,Oregon,22863869,196374,0,0,0,0,0
Providence Milwaukie Hospital,2016,4,Oregon,24212159,285214,0,0,0,0,0
Providence Milwaukie Hospital,2017,1,Oregon,24946659,558889,0,0,0,0,0
Providence Milwaukie Hospital,2017,2,Oregon,26959055,1717264,0,0,0,0,0
Providence Milwaukie Hospital,2017,3,Oregon,24326150,168832,0,0,0,0,0
Providence Milwaukie Hospital,2017,4,Oregon,27691111,264224,0,0,0,0,0
Providence Milwaukie Hospital,2018,1,Oregon,27782037,220626,0,0,0,0,0
Providence Milwaukie Hospital,2018,2,Oregon,26729892,625989,0,0,0,0,0
Providence Milwaukie Hospital,2018,3,Oregon,26087881,184851,0,0,0,0,0
Providence Milwaukie Hospital,2018,4,Oregon,28200967,394442,0,0,0,0,0
Providence Milwaukie Hospital,2019,1,Oregon,28112143,180682,0,0,0,0,0
Providence Milwaukie Hospital,2019,2,Oregon,28765147,196705,0,0,0,0,0
Providence Milwaukie Hospital,2019,3,Oregon,28572442,209653,0,0,0,0,0
Providence Milwaukie Hospital,2019,4,Oregon,30282383,422413,0,0,0,0,0
Providence Milwaukie Hospital,2020,1,Oregon,25598317,207568,0,0,0,0,0
Providence Milwaukie Hospital,2020,2,Oregon,28370578,7441283,0,0,0,0,0
Providence Milwaukie Hospital,2020,3,Oregon,26116620,104328,0,0,0,0,0
Providence Milwaukie Hospital,2020,4,Oregon,27671686,1068689,0,0,0,0,0
Providence Milwaukie Hospital,2021,1,Oregon,27252822,115337,11231405,4313963,1258343,13368335,-3105332
Providence Milwaukie Hospital,2021,2,Oregon,32163445,153473,12738957,4706764,1437159,12224283,518717
Providence Milwaukie Hospital,2021,3,Oregon,31462588,54415,12891857,5286672,884514,14453807,-2212526
Providence Milwaukie Hospital,2021,4,Oregon,31728789,2952840,10845308,4952186,935200,13136855,-1199683
Providence Milwaukie Hospital,2022,1,Oregon,28923137,156682,12779755,4552986,910606,12237712,-1348598
Providence Milwaukie Hospital,2022,2,Oregon,31603667,361671,13228116,5019881,1290056,13669539,-1443364
Providence Milwaukie Hospital,2022,3,Oregon,32932420,120903,13579331,4733802,77293,15339158,-618168
Providence Milwaukie Hospital,2022,4,Oregon,35331315,367925,14317165,4546177,1020806,16271514,-1372134
Providence Milwaukie Hospital,2023,1,Oregon,34946833,104962,13388242,5935181,761039,15310753,-867724
Providence Milwaukie Hospital,2023,2,Oregon,36250627,229138,13256105,5857820,935314,17208011,-1292024
Providence Milwaukie Hospital,2023,3,Oregon,35021298,799942,12912216,5833335,-406822,16122495,-96864
Providence Milwaukie Hospital,2023,4,Oregon,38030080,554348,14387993,5638664,2075230,17429815,-2159553
Providence Milwaukie Hospital,2024,1,Oregon,41456146,306286,16998249,7510046,2498917,19651934,-5736444
Providence Milwaukie Hospital,2024,2,Oregon,40823647,266889,13582173,6406671,3231874,18585846,-1211167
Providence Milwaukie Hospital,2024,3,Oregon,39473413,416961,14006351,6663710,1464120,18528882,-1973806
Providence Milwaukie Hospital,2024,4,Oregon,41070134,697585,15579015,6278430,1209881,22183665,-4845178
Providence Newberg Medical Center,2007,1,Oregon,15317000,566000,0,0,0,0,0
Providence Newberg Medical Center,2007,2,Oregon,15538000,556000,0,0,0,0,0
Providence Newberg Medical Center,2007,3,Oregon,16010000,741000,0,0,0,0,0
Providence Newberg Medical Center,2007,4,Oregon,16636000,666000,0,0,0,0,0
Providence Newberg Medical Center,2008,1,Oregon,18172000,616000,0,0,0,0,0
Providence Newberg Medical Center,2008,2,Oregon,19298000,606000,0,0,0,0,0
Providence Newberg Medical Center,2008,3,Oregon,19182000,754000,0,0,0,0,0
Providence Newberg Medical Center,2008,4,Oregon,18606000,763000,0,0,0,0,0
Providence Newberg Medical Center,2009,1,Oregon,19500000,657000,0,0,0,0,0
Providence Newberg Medical Center,2009,2,Oregon,21516000,672000,0,0,0,0,0
Providence Newberg Medical Center,2009,3,Oregon,20260000,669000,0,0,0,0,0
Providence Newberg Medical Center,2009,4,Oregon,18232000,680000,0,0,0,0,0
Providence Newberg Medical Center,2010,1,Oregon,20154000,631000,0,0,0,0,0
Providence Newberg Medical Center,2010,2,Oregon,21285000,635000,0,0,0,0,0
Providence Newberg Medical Center,2010,3,Oregon,21182000,709000,0,0,0,0,0
Providence Newberg Medical Center,2010,4,Oregon,21967000,819000,0,0,0,0,0
Providence Newberg Medical Center,2011,1,Oregon,22077000,674000,0,0,0,0,0
Providence Newberg Medical Center,2011,2,Oregon,22356000,681000,0,0,0,0,0
Providence Newberg Medical Center,2011,3,Oregon,22525000,742000,0,0,0,0,0
Providence Newberg Medical Center,2011,4,Oregon,22362000,1396000,0,0,0,0,0
Providence Newberg Medical Center,2012,1,Oregon,22068000,634000,0,0,0,0,0
Providence Newberg Medical Center,2012,2,Oregon,20637000,729000,0,0,0,0,0
Providence Newberg Medical Center,2012,3,Oregon,21240000,933000,0,0,0,0,0
Providence Newberg Medical Center,2012,4,Oregon,20524000,757000,0,0,0,0,0
Providence Newberg Medical Center,2013,1,Oregon,21613000,723000,0,0,0,0,0
Providence Newberg Medical Center,2013,2,Oregon,20664000,765000,0,0,0,0,0
Providence Newberg Medical Center,2013,3,Oregon,22597000,1735000,0,0,0,0,0
Providence Newberg Medical Center,2013,4,Oregon,23332000,1353000,0,0,0,0,0
Providence Newberg Medical Center,2014,1,Oregon,23977205,735613,0,0,0,0,0
Providence Newberg Medical Center,2014,2,Oregon,24641970,821291,0,0,0,0,0
Providence Newberg Medical Center,2014,3,Oregon,24585106,751953,0,0,0,0,0
Providence Newberg Medical Center,2014,4,Oregon,26040720,1747602,0,0,0,0,0
Providence Newberg Medical Center,2015,1,Oregon,26746665,863987,0,0,0,0,0
Providence Newberg Medical Center,2015,2,Oregon,26887788,693530,0,0,0,0,0
Providence Newberg Medical Center,2015,3,Oregon,26715215,783750,0,0,0,0,0
Providence Newberg Medical Center,2015,4,Oregon,28092947,1523382,0,0,0,0,0
Providence Newberg Medical Center,2016,1,Oregon,28616944,733423,0,0,0,0,0
Providence Newberg Medical Center,2016,2,Oregon,28482401,648281,0,0,0,0,0
Providence Newberg Medical Center,2016,3,Oregon,27785483,690185,0,0,0,0,0
Providence Newberg Medical Center,2016,4,Oregon,28848120,641055,0,0,0,0,0
Providence Newberg Medical Center,2017,1,Oregon,29966598,988091,0,0,0,0,0
Providence Newberg Medical Center,2017,2,Oregon,29192992,690133,0,0,0,0,0
Providence Newberg Medical Center,2017,3,Oregon,29986915,2316264,0,0,0,0,0
Providence Newberg Medical Center,2017,4,Oregon,29563882,338354,0,0,0,0,0
Providence Newberg Medical Center,2018,1,Oregon,29973029,271747,0,0,0,0,0
Providence Newberg Medical Center,2018,2,Oregon,29747514,292872,0,0,0,0,0
Providence Newberg Medical Center,2018,3,Oregon,29339695,238737,0,0,0,0,0
Providence Newberg Medical Center,2018,4,Oregon,30570254,345794,0,0,0,0,0
Providence Newberg Medical Center,2019,1,Oregon,30413726,293217,0,0,0,0,0
Providence Newberg Medical Center,2019,2,Oregon,31174551,241162,0,0,0,0,0
Providence Newberg Medical Center,2019,3,Oregon,32546290,284733,0,0,0,0,0
Providence Newberg Medical Center,2019,4,Oregon,33411491,312394,0,0,0,0,0
Providence Newberg Medical Center,2020,1,Oregon,30480296,209978,0,0,0,0,0
Providence Newberg Medical Center,2020,2,Oregon,26676533,2711920,0,0,0,0,0
Providence Newberg Medical Center,2020,3,Oregon,31557369,457625,0,0,0,0,0
Providence Newberg Medical Center,2020,4,Oregon,32257470,212496,0,0,0,0,0
Providence Newberg Medical Center,2021,1,Oregon,31728155,167731,8556284,6278774,1261857,18924373,-3478998
Providence Newberg Medical Center,2021,2,Oregon,35839902,223368,8430223,6702598,1024234,18585541,765527
Providence Newberg Medical Center,2021,3,Oregon,37520100,156909,8798324,7817869,1301341,22290498,-2857510
Providence Newberg Medical Center,2021,4,Oregon,39528388,914367,8553238,7786850,1174295,22615913,-1535820
Providence Newberg Medical Center,2022,1,Oregon,38438028,196147,9422972,8043558,915354,21141343,-1225869
Providence Newberg Medical Center,2022,2,Oregon,38968861,2666291,9318435,7946493,1265365,20125853,-2000296
Providence Newberg Medical Center,2022,3,Oregon,42754100,4854027,8197508,7529973,823996,22999637,-1596300
Providence Newberg Medical Center,2022,4,Oregon,39253178,254604,9094047,8004397,1185006,22425790,-2098517
Providence Newberg Medical Center,2023,1,Oregon,39810522,245492,9704402,8551421,1273494,21715814,-1693927
Providence Newberg Medical Center,2023,2,Oregon,41854433,201212,9526664,9178715,1053026,23848058,-1934810
Providence Newberg Medical Center,2023,3,Oregon,42042550,752703,9663226,9005645,-254382,23630728,-732826
Providence Newberg Medical Center,2023,4,Oregon,43536324,415448,9834094,8808218,2360115,25167172,-2822671
Providence Newberg Medical Center,2024,1,Oregon,46009862,156829,11398843,10570254,2642713,27022731,-6105084
Providence Newberg Medical Center,2024,2,Oregon,46340576,489853,9723706,9434677,2605515,26285136,-2186826
Providence Newberg Medical Center,2024,3,Oregon,45263544,253446,10499587,9228183,1603113,26025713,-2348922
Providence Newberg Medical Center,2024,4,Oregon,45799597,152638,10843563,9729315,1500922,29313008,-5562001
Samaritan Pacific Communities Hospital,2007,1,Oregon,11552842,155642,0,0,0,0,0
Samaritan Pacific Communities Hospital,2007,2,Oregon,11889577,171608,0,0,0,0,0
Samaritan Pacific Communities Hospital,2007,3,Oregon,12426755,255564,0,0,0,0,0
Samaritan Pacific Communities Hospital,2007,4,Oregon,16181153,91866,0,0,0,0,0
Samaritan Pacific Communities Hospital,2008,1,Oregon,13286862,176943,0,0,0,0,0
Samaritan Pacific Communities Hospital,2008,2,Oregon,13338575,44884,0,0,0,0,0
Samaritan Pacific Communities Hospital,2008,3,Oregon,14312609,169203,0,0,0,0,0
Samaritan Pacific Communities Hospital,2008,4,Oregon,15515108,539776,0,0,0,0,0
Samaritan Pacific Communities Hospital,2009,1,Oregon,14082472,211834,0,0,0,0,0
Samaritan Pacific Communities Hospital,2009,2,Oregon,14283019,297970,0,0,0,0,0
Samaritan Pacific Communities Hospital,2009,3,Oregon,14775612,267642,0,0,0,0,0
Samaritan Pacific Communities Hospital,2009,4,Oregon,15179833,362739,0,0,0,0,0
Samaritan Pacific Communities Hospital,2010,1,Oregon,15268503,368625,0,0,0,0,0
Samaritan Pacific Communities Hospital,2010,2,Oregon,16417812,363324,0,0,0,0,0
Samaritan Pacific Communities Hospital,2010,3,Oregon,16157681,351405,0,0,0,0,0
Samaritan Pacific Communities Hospital,2010,4,Oregon,16547215,326819,0,0,0,0,0
Samaritan Pacific Communities Hospital,2011,1,Oregon,14786955,320416,0,0,0,0,0
Samaritan Pacific Communities Hospital,2011,2,Oregon,16200433,299782,0,0,0,0,0
Samaritan Pacific Communities Hospital,2011,3,Oregon,22086364,380940,0,0,0,0,0
Samaritan Pacific Communities Hospital,2011,4,Oregon,16687765,575852,0,0,0,0,0
Samaritan Pacific Communities Hospital,2012,1,Oregon,15625147,358829,0,0,0,0,0
Samaritan Pacific Communities Hospital,2012,2,Oregon,16066746,329750,0,0,0,0,0
Samaritan Pacific Communities Hospital,2012,3,Oregon,16498463,345933,0,0,0,0,0
Samaritan Pacific Communities Hospital,2012,4,Oregon,16517860,389692,0,0,0,0,0
Samaritan Pacific Communities Hospital,2013,1,Oregon,15871738,440201,0,0,0,0,0
Samaritan Pacific Communities Hospital,2013,2,Oregon,16547507,406260,0,0,0,0,0
Samaritan Pacific Communities Hospital,2013,3,Oregon,17573070,359969,0,0,0,0,0
Samaritan Pacific Communities Hospital,2013,4,Oregon,19496376,420626,0,0,0,0,0
Samaritan Pacific Communities Hospital,2014,1,Oregon,18082410,564990,0,0,0,0,0
Samaritan Pacific Communities Hospital,2014,2,Oregon,18806121,582270,0,0,0,0,0
Samaritan Pacific Communities Hospital,2014,3,Oregon,19276310,659332,0,0,0,0,0
Samaritan Pacific Communities Hospital,2014,4,Oregon,19443332,462938,0,0,0,0,0
Samaritan Pacific Communities Hospital,2015,1,Oregon,19541400,391227,0,0,0,0,0
Samaritan Pacific Communities Hospital,2015,2,Oregon,20689042,97518,0,0,0,0,0
Samaritan Pacific Communities Hospital,2015,3,Oregon,21841823,550615,0,0,0,0,0
Samaritan Pacific Communities Hospital,2015,4,Oregon,23269832,470584,0,0,0,0,0
Samaritan Pacific Communities Hospital,2016,1,Oregon,22986375,576724,0,0,0,0,0
Samaritan Pacific Communities Hospital,2016,2,Oregon,23750030,703985,0,0,0,0,0
Samaritan Pacific Communities Hospital,2016,3,Oregon,22798187,565788,0,0,0,0,0
Samaritan Pacific Communities Hospital,2016,4,Oregon,23625954,481646,0,0,0,0,0
Samaritan Pacific Communities Hospital,2017,1,Oregon,22792609,631219,0,0,0,0,0
Samaritan Pacific Communities Hospital,2017,2,Oregon,23149050,778075,0,0,0,0,0
Samaritan Pacific Communities Hospital,2017,3,Oregon,24549253,1455081,0,0,0,0,0
Samaritan Pacific Communities Hospital,2017,4,Oregon,22086426,890452,0,0,0,0,0
Samaritan Pacific Communities Hospital,2018,1,Oregon,22981484,863203,0,0,0,0,0
Samaritan Pacific Communities Hospital,2018,2,Oregon,25080571,444956,0,0,0,0,0
Samaritan Pacific Communities Hospital,2018,3,Oregon,25152044,844064,0,0,0,0,0
Samaritan Pacific Communities Hospital,2018,4,Oregon,27989942,542063,0,0,0,0,0
Samaritan Pacific Communities Hospital,2019,1,Oregon,26394360,864590,0,0,0,0,0
Samaritan Pacific Communities Hospital,2019,2,Oregon,27087378,765829,0,0,0,0,0
Samaritan Pacific Communities Hospital,2019,3,Oregon,28972530,1248091,0,0,0,0,0
Samaritan Pacific Communities Hospital,2019,4,Oregon,27469959,912416,0,0,0,0,0
Samaritan Pacific Communities Hospital,2020,1,Oregon,28393145,1235287,0,0,0,0,0
Samaritan Pacific Communities Hospital,2020,2,Oregon,33276163,8727041,0,0,0,0,0
Samaritan Pacific Communities Hospital,2020,3,Oregon,30622059,1661256,0,0,0,0,0
Samaritan Pacific Communities Hospital,2020,4,Oregon,39557753,7870308,0,0,0,0,0
Samaritan Pacific Communities Hospital,2021,1,Oregon,32667046,1218428,11346480,8131348,1276911,9703364,724579
Samaritan Pacific Communities Hospital,2021,2,Oregon,33653783,1293548,11144826,8191684,953900,10155825,1642853
Samaritan Pacific Communities Hospital,2021,3,Oregon,34926520,1294007,10973406,8689872,1021327,10714720,1943584
Samaritan Pacific Communities Hospital,2021,4,Oregon,34679748,1626088,12024156,8342879,869057,10318162,1791079
Samaritan Pacific Communities Hospital,2022,1,Oregon,38491842,3771985,12918140,8276907,1259529,9954974,2140432
Samaritan Pacific Communities Hospital,2022,2,Oregon,34534665,903376,13671877,7334068,887765,10009381,1814941
Samaritan Pacific Communities Hospital,2022,3,Oregon,39505516,3003737,13903627,8176345,875362,11724068,1782207
Samaritan Pacific Communities Hospital,2022,4,Oregon,36970526,1406687,13420675,8467366,1132694,10776604,1758217
Samaritan Pacific Communities Hospital,2023,1,Oregon,38760254,1078404,13160888,8346829,1315004,12060294,2767710
Samaritan Pacific Communities Hospital,2023,2,Oregon,38800631,5399212,10744945,8152306,1061066,11335731,2060604
Samaritan Pacific Communities Hospital,2023,3,Oregon,40293038,4058029,14124279,7730122,1191858,11248046,1906507
Samaritan Pacific Communities Hospital,2023,4,Oregon,40771441,3806583,16539345,6951416,476120,10313316,2535404
Samaritan Pacific Communities Hospital,2024,1,Oregon,37418871,1040103,14063480,7643477,930558,11272839,2428335
Samaritan Pacific Communities Hospital,2024,2,Oregon,36943888,831205,13684610,7639873,829632,12244601,1688537
Samaritan Pacific Communities Hospital,2024,3,Oregon,36201964,2187407,13617844,6753790,777745,10480706,2368535
Samaritan Pacific Communities Hospital,2024,4,Oregon,41917796,5639747,15099943,7210437,1152555,10761945,1886641
Bay Area Hospital,2007,1,Oregon,27484072,324788,0,0,0,0,0
Bay Area Hospital,2007,2,Oregon,25964679,328545,0,0,0,0,0
Bay Area Hospital,2007,3,Oregon,27882974,400549,0,0,0,0,0
Bay Area Hospital,2007,4,Oregon,28376885,353668,0,0,0,0,0
Bay Area Hospital,2008,1,Oregon,28416265,326939,0,0,0,0,0
Bay Area Hospital,2008,2,Oregon,28990886,311295,0,0,0,0,0
Bay Area Hospital,2008,3,Oregon,29173764,376102,0,0,0,0,0
Bay Area Hospital,2008,4,Oregon,31454690,369293,0,0,0,0,0
